DATE,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI (avg. of past 24hrs) 
1-Jan,446,393,73,12,21,88,75,437
2-Jan,431,382,71,13,28,87,64,417
3-Jan,361,324,61,11,22,70,58,352
4-Jan,342,302,63,12,17,70,58,334
5-Jan,339,262,55,11,13,50,63,330
6-Jan,323,242,61,11,13,71,50,325
7-Jan,272,208,69,10,15,64,43,254
8-Jan,259,154,45,9,13,62,18,266
9-Jan,225,138,56,8,12,54,25,203
10-Jan,256,161,45,7,13,52,33,255
11-Jan,308,225,58,8,16,56,39,288
12-Jan,353,294,81,9,19,61,33,348
13-Jan,364,294,73,11,21,63,28,366
14-Jan,282,181,41,11,13,48,22,283
15-Jan,230,147,49,10,14,49,30,218
16-Jan,289,191,51,10,14,50,20,281
17-Jan,282,164,43,10,15,47,19,265
18-Jan,260,171,51,10,18,56,21,243
19-Jan,287,180,44,10,13,40,32,277
20-Jan,270,163,38,9,13,49,22,269
21-Jan,370,309,55,11,16,62,19,364
22-Jan,379,307,55,11,18,66,13,370
23-Jan,230,164,37,10,11,36,28,211
24-Jan,190,153,40,10,13,41,33,151
25-Jan,267,206,54,11,18,49,33,250
26-Jan,334,297,54,12,22,49,35,325
27-Jan,343,301,68,12,23,87,17,345
28-Jan,257,177,51,11,18,54,23,243
29-Jan,227,153,41,9,14,42,35,194
30-Jan,217,169,42,8,13,48,25,202
31-Jan,228,182,43,8,15,45,25,190
1-Feb,241,208,47,8,13,63,29,232
2-Feb,254,172,43,8,13,43,25,244
3-Feb,284,214,52,9,14,48,38,270
4-Feb,316,304,69,11,20,67,63,310
5-Feb,319,281,72,12,22,60,31,312
6-Feb,248,182,50,9,16,43,38,231
7-Feb,306,259,66,10,19,70,39,295
8-Feb,299,226,52,9,19,45,37,289
9-Feb,304,224,56,10,20,51,40,285
10-Feb,334,269,65,10,21,58,44,309
11-Feb,335,298,72,10,20,63,39,323
12-Feb,334,293,69,11,21,55,36,320
13-Feb,262,185,50,10,26,46,35,241
14-Feb,173,159,42,10,20,41,37,173
15-Feb,186,170,49,10,22,34,54,167
16-Feb,257,208,63,10,27,43,45,247
17-Feb,303,272,72,11,26,51,37,293
18-Feb,266,217,68,10,33,47,43,252
19-Feb,280,278,80,12,30,56,44,272
